simTime,MCC_idx,packet_is_loss
5.70001024,1,1
5.70001024,2,1
5.70001024,3,1
5.70001024,4,1
5.80001024,0,1
5.80001024,1,1
5.80001024,2,1
5.80001024,3,1
5.80001024,4,1
5.90001024,0,1
5.90001024,1,1
5.90001024,2,1
5.90001024,3,1
5.90001024,4,1
6.00001024,0,1
6.00001024,1,1
6.00001024,2,1
6.00001024,3,1
6.00001024,4,1
6.10001024,0,1
6.10001024,1,1
6.10001024,2,1
6.10001024,3,1
6.10001024,4,1
6.20001024,0,1
6.20001024,1,1
6.20001024,2,1
6.20001024,3,1
6.20001024,4,1
6.30001024,0,1
6.30001024,1,1
6.30001024,2,1
6.30001024,3,1
6.30001024,4,1
6.40001024,0,1
6.40001024,1,1
6.40001024,2,1
6.40001024,3,1
6.40001024,4,1
6.50001024,0,1
6.50001024,1,1
6.50001024,2,1
6.50001024,3,1
6.50001024,4,1
6.60001024,0,1
6.60001024,1,1
6.60001024,2,1
6.60001024,3,1
6.60001024,4,1
6.70001024,0,1
6.70001024,1,1
6.70001024,2,1
6.70001024,3,1
6.70001024,4,1
6.80001024,0,1
6.80001024,1,1
6.80001024,2,1
6.80001024,3,1
6.80001024,4,1
6.90001024,0,1
6.90001024,1,1
6.90001024,2,1
6.90001024,3,1
6.90001024,4,1
7.00001024,0,1
7.00001024,1,1
7.00001024,2,1
7.00001024,3,1
7.00001024,4,1
7.10001024,0,1
7.10001024,1,1
7.10001024,2,1
7.10001024,3,1
7.10001024,4,1
7.20001024,0,1
7.20001024,1,1
7.20001024,2,1
7.20001024,3,1
7.20001024,4,1
7.30001024,0,1
7.30001024,1,1
7.30001024,2,1
7.30001024,3,1
7.30001024,4,1
7.40001024,0,1
7.40001024,1,1
7.40001024,2,1
7.40001024,3,1
7.40001024,4,1
7.50001024,0,1
7.50001024,1,1
7.50001024,2,1
7.50001024,3,1
7.50001024,4,1
7.60001024,0,1
7.60001024,1,1
7.60001024,2,1
7.60001024,3,1
7.60001024,4,1
7.70001024,0,1
7.70001024,1,1
7.70001024,2,1
7.70001024,3,1
7.70001024,4,1
7.80001024,0,1
7.80001024,1,1
7.80001024,2,1
7.80001024,3,1
7.80001024,4,1
7.90001024,0,1
7.90001024,1,1
7.90001024,2,1
7.90001024,3,1
7.90001024,4,1
8.00001024,0,1
8.00001024,1,1
8.00001024,2,1
8.00001024,3,1
8.00001024,4,1
8.10001024,0,1
8.10001024,1,1
8.10001024,2,1
8.10001024,3,1
8.10001024,4,1
8.20001024,0,1
8.20001024,1,1
8.20001024,2,1
8.20001024,3,1
8.20001024,4,1
8.30001024,0,1
8.30001024,1,1
8.30001024,2,1
8.30001024,3,1
8.30001024,4,1
8.40001024,0,1
8.40001024,1,1
8.40001024,2,1
8.40001024,3,1
8.40001024,4,1
8.50001024,0,1
8.50001024,1,1
8.50001024,2,1
8.50001024,3,1
8.50001024,4,1
8.60001024,0,1
8.60001024,1,1
8.60001024,2,1
8.60001024,3,1
8.60001024,4,1
8.70001024,0,1
8.70001024,1,1
8.70001024,2,1
8.70001024,3,1
8.70001024,4,1
8.80001024,0,1
8.80001024,1,1
