simTime,MCCIndex,specWeatherModel,cloudCover,cloudHeight
5.9,0,41.7284,2,1
5.90001,0,41.7284,2,1
5.9,1,0,0,1
5.90001,1,0,0,1
5.9,2,43.6364,2,2.35351
5.90001,2,43.6364,2,2.07971
5.9,3,5.18445,1,1.02491
5.90001,3,5.18445,1,1
5.9,4,50.7629,2,1
5.90001,4,50.7629,2,1
6,0,41.7284,2,1
6.00001,0,41.7284,2,1
6,1,0,0,1
6.00001,1,0,0,4.16444
6,2,43.6364,2,2.07971
6.00001,2,43.6364,2,1
6,3,5.18445,1,1
6.00001,3,3.90017,1,2.74968
6,4,50.7629,2,1
6.00001,4,50.7629,2,4.45828
6.1,0,41.7284,2,1
6.10001,0,41.7284,2,1
6.1,1,0,0,4.16444
6.10001,1,0,0,1
6.1,2,43.6364,2,1
6.10001,2,43.6364,2,1.80027
6.1,3,3.90017,1,2.74968
6.10001,3,3.90017,1,1
6.1,4,50.7629,2,4.45828
6.10001,4,50.7629,2,1
6.2,0,41.7284,2,1
6.20001,0,41.7284,2,4.34214
6.2,1,0,0,1
6.20001,1,0,0,1
6.2,2,43.6364,2,1.80027
6.20001,2,29.0112,2,4.46694
6.2,3,3.90017,1,1
6.20001,3,9.10547,1,1
6.2,4,50.7629,2,1
6.20001,4,56.4711,2,3.24821
6.3,0,41.7284,2,4.34214
6.30001,0,51.9783,2,2.50844
6.3,1,0,0,1
6.30001,1,0,0,1
6.3,2,29.0112,2,4.46694
6.30001,2,29.0112,2,2.15747
6.3,3,9.10547,1,1
6.30001,3,9.10547,1,1
6.3,4,56.4711,2,3.24821
6.30001,4,42.9534,2,1
6.4,0,51.9783,2,2.50844
6.40001,0,51.9783,2,1
6.4,1,0,0,1
6.40001,1,0,0,4.31013
6.4,2,29.0112,2,2.15747
6.40001,2,29.0112,2,4.4045
6.4,3,9.10547,1,1
6.40001,3,9.10547,1,2.82758
6.4,4,42.9534,2,1
6.40001,4,42.9534,2,4.47437
6.5,0,51.9783,2,1
6.50001,0,51.9783,2,1
6.5,1,0,0,4.31013
6.50001,1,0,0,4.24808
6.5,2,29.0112,2,4.4045
6.50001,2,29.0112,2,1
6.5,3,9.10547,1,2.82758
6.50001,3,9.10547,1,4.77952
6.5,4,42.9534,2,4.47437
6.50001,4,42.9534,2,4.71703
6.6,0,51.9783,2,1
6.60001,0,49.1443,2,1
6.6,1,0,0,4.24808
6.60001,1,0,0,2.28012
6.6,2,29.0112,2,1
6.60001,2,29.0112,2,1.28181
6.6,3,9.10547,1,4.77952
6.60001,3,9.10547,1,1
6.6,4,42.9534,2,4.71703
6.60001,4,42.9534,2,3.58721
6.7,0,49.1443,2,1
6.70001,0,49.1443,2,1
6.7,1,0,0,2.28012
6.70001,1,11.7736,1,4.31972
6.7,2,29.0112,2,1.28181
6.70001,2,29.0112,2,4.16715
6.7,3,9.10547,1,1
6.70001,3,9.10547,1,1
6.7,4,42.9534,2,3.58721
6.70001,4,42.9534,2,1
6.8,0,49.1443,2,1
6.80001,0,49.1443,2,1.96343
6.8,1,11.7736,1,4.31972
6.80001,1,11.7736,1,2.28557
6.8,2,29.0112,2,4.16715
6.80001,2,29.0112,2,1
6.8,3,9.10547,1,1
6.80001,3,0,0,1
6.8,4,42.9534,2,1
6.80001,4,42.9534,2,1
6.9,0,49.1443,2,1.96343
6.90001,0,49.1443,2,1
6.9,1,11.7736,1,2.28557
6.90001,1,25.0297,2,1
6.9,2,29.0112,2,1
6.90001,2,23.9203,1,1
6.9,3,0,0,1
6.90001,3,0,0,1
6.9,4,42.9534,2,1
6.90001,4,42.9534,2,1
7,0,49.1443,2,1
7.00001,0,45.8952,2,1.77082
7,1,25.0297,2,1
7.00001,1,25.0297,2,1
7,2,23.9203,1,1
7.00001,2,33.4019,2,4.26161
7,3,0,0,1
7.00001,3,0,0,1.16705
7,4,42.9534,2,1
7.00001,4,42.9534,2,1
7.1,0,45.8952,2,1.77082
7.10001,0,60.5571,2,1
7.1,1,25.0297,2,1
7.10001,1,25.0297,2,1
7.1,2,33.4019,2,4.26161
7.10001,2,33.4019,2,1
7.1,3,0,0,1.16705
7.10001,3,0,0,1
7.1,4,42.9534,2,1
7.10001,4,24.9556,1,1
7.2,0,60.5571,2,1
7.20001,0,45.3598,2,1
7.2,1,25.0297,2,1
7.20001,1,17.9229,1,1.09207
7.2,2,33.4019,2,1
7.20001,2,33.4019,2,1
7.2,3,0,0,1
7.20001,3,0,0,2.88589
7.2,4,24.9556,1,1
7.20001,4,24.9556,1,1
