simTime,MCCIndex,specWeatherModel,cloudCover
7.50001,0,8.84691,1
7.5,1,0,0
7.50001,1,0,0
7.5,2,48.4318,2
7.50001,2,48.4318,2
7.5,3,16.1668,1
7.50001,3,16.1668,1
7.5,4,32.6439,2
7.50001,4,23.2063,1
7.6,0,8.84691,1
7.60001,0,0,0
7.6,1,0,0
7.60001,1,0,0
7.6,2,48.4318,2
7.60001,2,48.4318,2
7.6,3,16.1668,1
7.60001,3,16.1668,1
7.6,4,23.2063,1
7.60001,4,23.2063,1
7.7,0,0,0
7.70001,0,0,0
7.7,1,0,0
7.70001,1,0,0
7.7,2,48.4318,2
7.70001,2,48.4318,2
7.7,3,16.1668,1
7.70001,3,16.1668,1
7.7,4,23.2063,1
7.70001,4,23.2063,1
7.8,0,0,0
7.80001,0,0,0
7.8,1,0,0
7.80001,1,0,0
7.8,2,48.4318,2
7.80001,2,48.4318,2
7.8,3,16.1668,1
7.80001,3,16.1668,1
7.8,4,23.2063,1
7.80001,4,23.2063,1
7.9,0,0,0
7.90001,0,0,0
7.9,1,0,0
7.90001,1,0,0
7.9,2,48.4318,2
7.90001,2,48.4318,2
7.9,3,16.1668,1
7.90001,3,16.1668,1
7.9,4,23.2063,1
7.90001,4,23.2063,1
8,0,0,0
8.00001,0,0,0
8,1,0,0
8.00001,1,7.59257,1
8,2,48.4318,2
8.00001,2,48.4318,2
8,3,16.1668,1
8.00001,3,16.1668,1
8,4,23.2063,1
8.00001,4,33.6881,2
8.1,0,0,0
8.10001,0,0,0
8.1,1,7.59257,1
8.10001,1,1.13126,0
8.1,2,48.4318,2
8.10001,2,50.9971,2
8.1,3,16.1668,1
8.10001,3,1.11618,0
8.1,4,33.6881,2
8.10001,4,33.6881,2
8.2,0,0,0
8.20001,0,0,0
8.2,1,1.13126,0
8.20001,1,1.13126,0
8.2,2,50.9971,2
8.20001,2,50.9971,2
8.2,3,1.11618,0
8.20001,3,1.11618,0
8.2,4,33.6881,2
8.20001,4,33.6881,2
8.3,0,0,0
8.30001,0,0,0
8.3,1,1.13126,0
8.30001,1,1.13126,0
8.3,2,50.9971,2
8.30001,2,50.9971,2
8.3,3,1.11618,0
8.30001,3,1.96365,0
8.3,4,33.6881,2
8.30001,4,33.6881,2
8.4,0,0,0
8.40001,0,14.7367,1
8.4,1,1.13126,0
8.40001,1,1.13126,0
8.4,2,50.9971,2
8.40001,2,55.5466,2
8.4,3,1.96365,0
8.40001,3,1.96365,0
8.4,4,33.6881,2
8.40001,4,33.6881,2
8.5,0,14.7367,1
8.50001,0,14.7367,1
8.5,1,1.13126,0
8.50001,1,0,0
8.5,2,55.5466,2
8.50001,2,55.5466,2
8.5,3,1.96365,0
8.50001,3,1.96365,0
8.5,4,33.6881,2
8.50001,4,25.7775,2
8.6,0,14.7367,1
8.60001,0,14.7367,1
8.6,1,0,0
8.60001,1,0,0
8.6,2,55.5466,2
8.60001,2,52.794,2
8.6,3,1.96365,0
8.60001,3,1.96365,0
8.6,4,25.7775,2
