simTime,MCCIndex,specWeatherModel
9.6,0,55.2742
9.60001,0,55.2742
9.6,1,18.5443
9.60001,1,18.5443
9.6,2,68.5133
9.60001,2,68.5133
9.6,3,93.5735
9.60001,3,112.832
9.6,4,28.4455
9.60001,4,9.62407
9.7,0,55.2742
9.70001,0,55.2742
9.7,1,18.5443
9.70001,1,18.5443
9.7,2,68.5133
9.70001,2,68.5133
9.7,3,112.832
9.70001,3,88.403
9.7,4,9.62407
9.70001,4,9.62407
9.8,0,55.2742
9.80001,0,55.2742
9.8,1,18.5443
9.80001,1,18.5443
9.8,2,68.5133
9.80001,2,68.5133
9.8,3,88.403
9.80001,3,88.403
9.8,4,9.62407
9.80001,4,9.62407
9.9,0,55.2742
9.90001,0,55.2742
9.9,1,18.5443
9.90001,1,18.5443
9.9,2,68.5133
9.90001,2,68.5133
9.9,3,88.403
9.90001,3,88.403
9.9,4,9.62407
9.90001,4,9.62407
10,0,55.2742
10.00001,0,55.2742
10,1,18.5443
10.00001,1,14.3262
10,2,68.5133
10.00001,2,68.5133
10,3,88.403
10.00001,3,88.403
10,4,9.62407
10.00001,4,30.7255
10.1,0,55.2742
10.10001,0,55.2742
10.1,1,14.3262
10.10001,1,14.3262
10.1,2,68.5133
10.10001,2,68.5133
10.1,3,88.403
10.10001,3,94.8144
10.1,4,30.7255
10.10001,4,30.7255
10.2,0,55.2742
10.20001,0,55.2742
10.2,1,14.3262
10.20001,1,14.3262
10.2,2,68.5133
10.20001,2,68.5133
10.2,3,94.8144
10.20001,3,94.8144
10.2,4,30.7255
10.20001,4,30.7255
10.3,0,55.2742
10.30001,0,46.1625
10.3,1,14.3262
10.30001,1,14.3262
10.3,2,68.5133
10.30001,2,68.5133
10.3,3,94.8144
10.30001,3,99.1445
10.3,4,30.7255
10.30001,4,30.7255
10.4,0,46.1625
10.40001,0,46.1625
10.4,1,14.3262
10.40001,1,14.3262
10.4,2,68.5133
10.40001,2,68.5133
10.4,3,99.1445
10.40001,3,98.1687
10.4,4,30.7255
10.40001,4,30.7255
10.5,0,46.1625
10.50001,0,46.1625
10.5,1,14.3262
10.50001,1,36.6332
10.5,2,68.5133
10.50001,2,68.5133
10.5,3,98.1687
10.50001,3,98.1687
10.5,4,30.7255
10.50001,4,18.2365
10.6,0,46.1625
10.60001,0,46.1625
10.6,1,36.6332
10.60001,1,47.8706
10.6,2,68.5133
10.60001,2,68.5133
10.6,3,98.1687
10.60001,3,98.1687
10.6,4,18.2365
10.60001,4,18.2365
10.7,0,46.1625
10.70001,0,39.1422
10.7,1,47.8706
10.70001,1,47.8706
10.7,2,68.5133
10.70001,2,68.5133
10.7,3,98.1687
10.70001,3,98.1687
10.7,4,18.2365
10.70001,4,18.2365
10.8,0,39.1422
10.80001,0,39.1422
10.8,1,47.8706
10.80001,1,29.5335
10.8,2,68.5133
10.80001,2,68.5133
10.8,3,98.1687
10.80001,3,98.1687
10.8,4,18.2365
10.80001,4,18.2365
10.9,0,39.1422
10.90001,0,17.1366
10.9,1,29.5335
10.90001,1,46.401
10.9,2,68.5133
10.90001,2,68.5133
10.9,3,98.1687
10.90001,3,98.1687
10.9,4,18.2365
10.90001,4,18.2365
11,0,17.1366
11.00001,0,17.1366
11,1,46.401
11.00001,1,43.3657
11,2,68.5133
11.00001,2,59.9035
11,3,98.1687
11.00001,3,81.8184
11,4,18.2365
11.00001,4,18.2365
11.1,0,17.1366
11.10001,0,11.0372
11.1,1,43.3657
11.10001,1,43.3657
11.1,2,59.9035
11.10001,2,82.5312
11.1,3,81.8184
11.10001,3,81.8184
11.1,4,18.2365
11.10001,4,18.2365
11.2,0,11.0372
11.20001,0,11.0372
11.2,1,43.3657
11.20001,1,53.8971
11.2,2,82.5312
11.20001,2,82.5312
11.2,3,81.8184
11.20001,3,81.8184
11.2,4,18.2365
11.20001,4,18.2365
11.3,0,11.0372
11.30001,0,11.0372
11.3,1,53.8971
11.30001,1,53.8971
11.3,2,82.5312
11.30001,2,93.3479
11.3,3,81.8184
11.30001,3,62.2003
11.3,4,18.2365
11.30001,4,18.2365
11.4,0,11.0372
11.40001,0,11.0372
11.4,1,53.8971
11.40001,1,53.8971
11.4,2,93.3479
11.40001,2,93.3479
11.4,3,62.2003
11.40001,3,62.2003
11.4,4,18.2365
11.40001,4,18.2365
11.5,0,11.0372
11.50001,0,11.0372
11.5,1,53.8971
11.50001,1,53.8971
11.5,2,93.3479
11.50001,2,89.2013
11.5,3,62.2003
11.50001,3,62.2003
11.5,4,18.2365
11.50001,4,18.2365
11.6,0,11.0372
11.60001,0,0
11.6,1,53.8971
11.60001,1,53.8971
11.6,2,89.2013
11.60001,2,72.5043
11.6,3,62.2003
11.60001,3,83.5731
11.6,4,18.2365
11.60001,4,2.12322
11.7,0,0
11.70001,0,0
11.7,1,53.8971
11.70001,1,53.8971
11.7,2,72.5043
11.70001,2,72.5043
11.7,3,83.5731
11.70001,3,83.5731
11.7,4,2.12322
11.70001,4,2.12322
11.8,0,0
11.80001,0,0
11.8,1,53.8971
11.80001,1,53.8971
11.8,2,72.5043
11.80001,2,72.5043
11.8,3,83.5731
11.80001,3,73.9157
11.8,4,2.12322
11.80001,4,15.9695
11.9,0,0
11.90001,0,0
11.9,1,53.8971
11.90001,1,53.8971
11.9,2,72.5043
11.90001,2,72.5043
11.9,3,73.9157
11.90001,3,73.9157
11.9,4,15.9695
11.90001,4,15.9695
12,0,0
12.00001,0,0
12,1,53.8971
12.00001,1,53.8971
12,2,72.5043
12.00001,2,72.5043
12,3,73.9157
12.00001,3,73.9157
12,4,15.9695
12.00001,4,15.9695
12.1,0,0
12.10001,0,0
12.1,1,53.8971
12.10001,1,53.8971
12.1,2,72.5043
12.10001,2,72.5043
12.1,3,73.9157
12.10001,3,73.9157
12.1,4,15.9695
12.10001,4,15.9695
12.2,0,0
12.20001,0,7.51101
12.2,1,53.8971
12.20001,1,53.8971
12.2,2,72.5043
12.20001,2,91.6032
12.2,3,73.9157
12.20001,3,73.9157
12.2,4,15.9695
12.20001,4,19.5521
12.3,0,7.51101
12.30001,0,0
12.3,1,53.8971
12.30001,1,37.0847
12.3,2,91.6032
12.30001,2,98.8942
12.3,3,73.9157
12.30001,3,73.9157
12.3,4,19.5521
12.30001,4,19.5521
12.4,0,0
12.40001,0,0
12.4,1,37.0847
12.40001,1,37.0847
12.4,2,98.8942
12.40001,2,98.8942
12.4,3,73.9157
12.40001,3,73.9157
12.4,4,19.5521
12.40001,4,43.5252
12.5,0,0
12.50001,0,0
12.5,1,37.0847
12.50001,1,60.4931
12.5,2,98.8942
12.50001,2,98.8942
12.5,3,73.9157
12.50001,3,66.3042
12.5,4,43.5252
12.50001,4,43.5252
12.6,0,0
12.60001,0,0
12.6,1,60.4931
12.60001,1,72.5541
12.6,2,98.8942
12.60001,2,80.0956
12.6,3,66.3042
12.60001,3,66.3042
12.6,4,43.5252
12.60001,4,43.5252
12.7,0,0
12.70001,0,0
12.7,1,72.5541
12.70001,1,72.5541
12.7,2,80.0956
12.70001,2,88.2168
12.7,3,66.3042
12.70001,3,74.3608
12.7,4,43.5252
12.70001,4,31.6889
12.8,0,0
12.80001,0,0
12.8,1,72.5541
12.80001,1,72.5541
12.8,2,88.2168
12.80001,2,96.537
12.8,3,74.3608
12.80001,3,74.3608
12.8,4,31.6889
12.80001,4,6.78342
12.9,0,0
12.90001,0,0
12.9,1,72.5541
12.90001,1,72.5541
12.9,2,96.537
12.90001,2,96.537
12.9,3,74.3608
12.90001,3,74.3608
12.9,4,6.78342
12.90001,4,6.78342
13,0,0
13.00001,0,0
13,1,72.5541
13.00001,1,72.5541
13,2,96.537
13.00001,2,96.537
13,3,74.3608
13.00001,3,91.0568
